,level_0,index,URLS,Title,OverAll,Time,Rank,
23,23,183,https://www.tripadvisor.com//Attraction_Review-g293995-d8434729-Reviews-King_Khalid_Grand_Mosque-Riyadh_Riyadh_Province.html,['King Khalid Grand Mosque'],['4.5 of 5 bubbles. 85 reviews'],,['#13,88 things to do in Riyadh']
24,24,189,https://www.tripadvisor.com//Attraction_Review-g293995-d8434723-Reviews-Princess_Latifa_Bint_Sultan_Bin_Abdulaziz_Mosque-Riyadh_Riyadh_Province.html,['Princess Latifa Bint Sultan Bin Abdulaziz Mosque'],['5.0 of 5 bubbles. 24 reviews'],,['#26,88 things to do in Riyadh']
25,25,195,https://www.tripadvisor.com//Attraction_Review-g293995-d12135058-Reviews-King_Fahad_Cultural_Centre-Riyadh_Riyadh_Province.html,['King Fahad Cultural Centre'],['4.5 of 5 bubbles. 20 reviews'],4PM-12MP,['#29,88 things to do in Riyadh']
26,26,201,https://www.tripadvisor.com//Attraction_Review-g293995-d8178758-Reviews-Imam_Turki_Bin_Abdullah_Grand_Mosque-Riyadh_Riyadh_Province.html,['Imam Turki Bin Abdullah Grand Mosque'],['4.5 of 5 bubbles. 59 reviews'],,['#20,88 things to do in Riyadh']
27,27,207,https://www.tripadvisor.com//Attraction_Review-g293995-d319523-Reviews-Al_Thumama_Desert-Riyadh_Riyadh_Province.html,['Al Thumama Desert'],['3.5 of 5 bubbles. 19 reviews'],24 hours,['#46,88 things to do in Riyadh']
28,28,213,https://www.tripadvisor.com//Attraction_Review-g293995-d2646183-Reviews-Sahara_Mall-Riyadh_Riyadh_Province.html,['Sahara Mall'],['4.0 of 5 bubbles. 51 reviews'],9AM–1AM,['#27,88 things to do in Riyadh']
29,29,219,https://www.tripadvisor.com//Attraction_Review-g293995-d19657871-Reviews-Riyadh_Front-Riyadh_Riyadh_Province.html,['Riyadh Front'],['5.0 of 5 bubbles. 8 reviews'],8AM–1AM,['#30,88 things to do in Riyadh']
30,30,373,https://www.tripadvisor.com//Attraction_Review-g293995-d10358022-Reviews-Wadi_Hanifa-Riyadh_Riyadh_Province.html,['Wadi Hanifa'],['4.0 of 5 bubbles. 342 reviews'],['12:00 AM - 11:59 PM'],['#9,88 things to do in Riyadh']
31,31,846,https://www.tripadvisor.com//Attraction_Review-g293995-d8150871-Reviews-Othman_Ibn_Affan_Mosque-Riyadh_Riyadh_Province.html,['Othman Ibn Affan Mosque'],['4.5 of 5 bubbles. 23 reviews'],,['#28,88 things to do in Riyadh']
32,32,852,https://www.tripadvisor.com//Attraction_Review-g293995-d19415041-Reviews-King_Saud_University_Stadium-Riyadh_Riyadh_Province.html,['King Saud University Stadium'],['5.0 of 5 bubbles. 7 reviews'],4PM-12PM,['#35,88 things to do in Riyadh']
33,33,858,https://www.tripadvisor.com//Attraction_Review-g293995-d10020474-Reviews-Riyadh_International_Book_Fair-Riyadh_Riyadh_Province.html,['Riyadh International Book Fair'],['4.5 of 5 bubbles. 13 reviews'],12AM-12AM,['#33,88 things to do in Riyadh']
34,34,861,https://www.tripadvisor.com//Attraction_Review-g293995-d15113579-Reviews-Al_Masmak_Palace_Museum-Riyadh_Riyadh_Province.html,['Al Masmak Palace Museum'],['4.5 of 5 bubbles. 8 reviews'],['8:00 AM - 9:00 PM'],['#39,88 things to do in Riyadh']
